substantiated,mos_age_incident,Officer_Female,Officer_Male,Officer_American Indian,Officer_Asian,Officer_Black,Officer_Hispanic,Officer_White,Captain,Deputy Inspector,Detective,Inspector,Lieutenant,Police Officer,Sergeant,processing_days,Abuse of Authority,Discourtesy,Force,Offensive Language,complainant_age_incident,complainant_Female,complainant_Gender non-conforming,complainant_Male,complainant_Not described,complainant_Transman (FTM),complainant_Transwoman (MTF),complainant_American Indian,complainant_Asian,complainant_Black,complainant_Hispanic,complainant_Other Race,complainant_Refused,complainant_Unknown,complainant_White
0,36,0,1,0,0,1,0,0,0,0,0,0,0,1,0,426,0,0,1,0,28.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,36,0,1,0,0,1,0,0,0,0,0,0,0,1,0,426,1,0,0,0,28.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,28,0,1,0,0,0,1,0,0,0,0,0,0,0,1,61,1,0,0,0,45.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,31,0,1,0,0,0,1,0,0,0,0,0,0,0,1,425,1,0,0,0,42.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,31,0,1,0,1,0,0,0,0,0,0,0,0,1,0,273,0,1,0,0,58.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,32,0,1,0,1,0,0,0,0,0,0,0,0,1,0,243,1,0,0,0,50.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,43,0,1,0,0,1,0,0,0,0,0,0,0,1,0,396,1,0,0,0,26.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,53,0,1,0,0,1,0,0,0,0,0,0,0,1,0,122,1,0,0,0,24.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,40,0,1,0,0,0,0,1,0,0,0,0,1,0,0,366,1,0,0,0,42.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,40,0,1,0,0,0,0,1,0,0,0,0,1,0,0,366,1,0,0,0,42.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,28,0,1,0,0,0,0,1,0,0,0,0,0,1,0,273,1,0,0,0,43.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,28,0,1,0,0,0,0,1,0,0,0,0,0,1,0,273,1,0,0,0,43.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,30,0,1,0,0,0,0,1,0,0,0,0,0,1,0,273,1,0,0,0,65.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,32,0,1,0,0,0,0,1,0,0,0,0,0,1,0,245,1,0,0,0,28.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,32,0,1,0,0,0,0,1,0,0,0,0,0,1,0,245,1,0,0,0,28.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
